# Multiple length cutting stock problem
# Erwin Kalvelagen,  https://plus.google.com/+ErwinKalvelagen
# http://yetanothermathprogrammingconsultant.blogspot.com/2010/07/multiple-length-cutting-stock-problem.html
# AMPL Model data

#========================== data MultiRawCutting.dat;=====================================
#30 demand, 36 stock

# dd{ll}
param: ll: dd:= 
	0.8, 68
	0.9, 31
	1.2, 91
	1.6, 24
	2.1, 111
	3.7, 91
	3.8, 68
	4.2, 116
	4.4, 103
	4.8, 74
	5.2, 25
	6.2, 63
	6.6, 75
	6.8, 116
	7.1, 99
	7.2, 104
	7.5, 91
	7.6, 103
	8,   68
	9.2, 111
	9.5, 108
	10.1, 13
	10.4,116
	10.9, 24
	11.1, 90
	11.5, 33
	11.7, 79
	12.1, 15
	12.5, 51
	13.2  12;

param nSTOCK=36;
#stock lengths
param: LK :=
	1	0.5
	2	1
	3	1.5
	4	2
	5	2.5
	6	3
	7	3.5
	8	4
	9	4.5
	10	5
	11  5.5
	12	6
	13	6.5
	14	7
	15	7.5
	16	8
	17  8.5
	18	9
	19  9.5
	20	10
	21	10.5
	22  11
	23  11.5
	24  12
	25  12.5
	26  13
	27  13.5
	28  14
	29  14.5
	30  15
	31  15.5
	32	16
	33	16.5
	34	17
	35	17.5
	36	18;
